"","A549","HEK293T","K562","HeLa"
"AC025263.2",0.00363822618057469,0.0143797543638365,0.00867206839850609,0.00950704121647543
"AC025283.2",0.0342022327985425,0.0364179959093887,0.0442693145204672,0.0580119157396715
"AC026464.1",0.00119283222766489,0.00233104154608595,0.0020441913481353,0.00355257362680286
"AC026464.3",0.00830928704675903,0.0141182691642577,0.00740530205433427,0.0182120202544512
"AC026464.4",0.134207902720578,0.158972274780725,0.0961365179199715,0.0769527670128524
"AC026464.6",0.236248435912111,0.414036205553852,0.444696333582161,0.290235327347548
"AC026740.3",0.000291921144089019,0.00550053184251907,0.000863711778685732,0.00552354940975423
"AC026786.1",0.0513869255855713,0.0241865274212084,0.0154893211265428,0.0271104862912667
"AC026954.2",0.564950948703654,0.796318964898196,0.517972872833905,0.509257179579365
"AC027644.4",0.309871819711283,0.210802479750295,0.233512232681402,0.286399135806114
"AC027796.3",0.00162525313748174,0.00536607496494281,0.00496474261842625,0.00457127438745021
"AC034102.2",0.245402852079795,0.297219372915281,0.48388702764115,0.258315381947486
"AC034228.4",0,0.00781134470534054,0.000890485981537566,0.000901433879718241
"AC036214.3",0.428895945037708,0.352679974868285,0.276309141590255,0.441090304681893
"AC037459.1",0.000104879133228919,0.000343933607408094,0,0.00140102924072186
"AC040162.1",0.262362178663169,0.247234719209455,0.460636205378238,0.256676724609302
"AC046185.1",0.29071617679687,0.35842136818556,0.385111933841963,0.225693067337979
"AC048338.1",0.602988188104937,0.434863273261848,0.506838708805729,0.326843542412064
"AC048338.2",0.59478182649591,0.392436555180444,0.478949044078798,0.317166799644161
"AC053503.7",0.00414694449421817,0.00050962239310463,0.016033252610581,0.00616863811515212
"AC055811.2",0.116729283020911,0.0446645070532307,0.0388075480054268,0.0166250851016097
"AC055839.2",0.0165247939241896,0.128435676435343,0.0729484976363518,0.0160002926573433
"AC058822.1",0.047805755826285,0.0680194509415737,0.116104031850349,0.0785161467964929
"AC067968.1",0.0326742362939341,0.00980888229085225,0.00535483870289427,0.00644139983308965
"AC068234.1",0.0370347052151353,0.00305017872895981,0.00108793860328528,0.00934625863917967
"AC068533.4",0.105728879645242,0.0856384198068697,0.264095840483948,0.0613406376505366
"AC068547.1",0.133824216229528,0.339962698726817,0.638528040488618,0.240970253459364
"AC068580.4",0.359242103357588,0.0193610845604878,0.00621483493156051,0.0398254102334383
"AC068631.2",0.0844471690702153,0.15836263146525,0.237531325425153,0.105893578833907
"AC068775.1",0.00387063283084286,0,0.00058334384166049,0.00554918609468356
"AC068831.7",0.615519237321216,1.65131523755541,0.905566024985689,1.2671612088504
"AC068896.1",0.0181725898554564,0.0163784315779473,0.0159940918386682,0.0146690741892791
"AC068946.1",0.07580555635748,0.118403318348161,0.0874102100190402,0.126743645212535
"AC068946.2",0.348884399495198,0.801044584440049,0.628278360486222,0.711554838537918
"AC069257.3",0.0663053152071393,0.109881072578483,0.100657265842521,0.125430395897473
"AC069288.1",0.698525744211583,0.997521796767474,1.40956207542495,0.554936816162772
"AC069368.1",0.00106472904309898,0,0.000716338763126754,0.00185382353603101
"AC069444.2",0.00014962984748775,0,0,0
"AC069503.2",0.785804606130104,0.550257189165889,0.753660719009344,0.444731237710426
"AC072022.2",0,0.00059836245626413,0.00288547307713425,0.00100279516865302
"AC073082.1",0.000842849208926535,0.000525236751269899,0.000162161254689201,0.0012252037455692
"AC073111.4",0.0353455339698774,0.0317782947460637,0.03632100251745,0.014736089152113
"AC073283.3",0.135074795514134,0.0364076093720467,0.0529833302719267,0.0940188919469359
"AC073508.2",1.51360374104748,1.19596048563129,1.70910237341858,1.0091537142386
"AC073585.2",0.0108077664177018,0.0041087708638607,0.00775877878906772,0.00189535023377665
"AC073610.2",0.366597095145135,0.143461917227006,0.100731420947979,0.112453815356583
"AC073612.1",0.0036242945598529,0.00679165621552741,0.0043994085658001,0.00442639070262758
"AC073896.1",0.178300835802591,0.261039054228982,0.218972744819232,0.422688639379204
"AC074143.1",0.000925401355163317,0.0121294246623766,0.00362606561653902,0.000637175447602876
"AC078927.1",0.703871831812629,0.45309604468936,0.542122775151002,0.323559790952872
"AC079447.1",0.188123637082179,0.370154335273933,0.427232890879055,0.211505020615417
"AC079594.2",0.0975199219652284,0.158545737541712,0.225594656723457,0.0761944211941889
"AC083800.1",0.000230662664964434,0,0,0
"AC084337.2",0.0244530000328142,0.0163212100783985,0.0339866202924798,0.0118458434901702
"AC087289.3",0.265798286423455,1.08539596164716,0.839906015855549,0.590835618663843
"AC087632.2",0.233243969780671,0.228461337768934,0.44438176414233,0.259736070376173
"AC087721.2",0.563148701520927,1.53913678836819,1.79973677657307,1.70166381277106
"AC090004.1",0.00326903128561071,0.00084186938455097,0.0102686451641138,0.00360650250317247
"AC090227.2",0.0338145005261262,0.0124493794685703,0.00348152331839577,0.0288306420340286
"AC090360.1",0.109617292647162,0.0640440212243425,0.0696941746983633,0.0414818707310258
"AC090517.4",0.101814931271596,0.0684088242539271,0.0870673126110375,0.064321796608011
"AC090527.2",0.235901139343933,0.115301713926248,0.219951562826539,0.142086644963968
"AC091057.6",0.0286071131243671,0.0585449733970396,0.0908138728047177,0.0364372188141887
"AC091167.2",1.86002565825331,1.09258104907758,1.08309816448354,2.45142840902032
"AC091167.6",0.0584627412950893,0.0397607635683197,0.0316739428616623,0.0721432007685411
"AC091167.7",0.00410251454882332,0.0119772322631337,0.00210461592443784,0.00170530304840407
"AC091551.1",0.0345913630731408,0.0570037970003858,0.0365388974121581,0.0283706499433037
"AC091959.3",0.658039468861981,0.617739639922395,0.778455774980144,0.598736867123207
"AC092017.3",0.000428341618608211,0,0,0
"AC092042.3",0,0,0.00385137299230368,0
"AC092073.1",0.0305650391274646,0.0408544290664194,0.0383318586826308,0.034933589378132
